strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
33500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE33500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,900,500,125,7241.1,500,7885.75,41041
34000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE34000.00,4,0,0.0,0,0.0,6601.0,0.0,0.0,500,500,500,6742.0,500,7431.45,41041
34500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE34500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,500,500,500,6381.45,500,6849.5,41041
35000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE35000.00,8,-1,-11.11111111111111,5,170.87,6101.0,500.0,8.926977325477594,500,500,500,5762.15,500,6408.5,41041
35500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE35500.00,2,0,0.0,0,0.0,5119.95,0.0,0.0,500,500,500,5357.3,500,5893.3,41041
36000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE36000.00,3,-1,-25.0,2,170.92,5159.15,1229.1499999999996,31.276081424936375,500,500,500,4801.75,500,5375.35,41041
36500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE36500.00,2,0,0.0,0,0.0,4400.0,0.0,0.0,500,500,500,4331.6,500,4844.75,41041
36900,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE36900.00,0,0,0.0,0,0.0,0.0,0.0,0.0,0,500,0,0.0,500,4570.6,41041
37000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37000.00,14,-8,-36.36363636363637,19,0.0,4045.0,45.0,1.125,500,500,500,3845.7,500,4325.25,41041
37100,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37100.00,10,0,0.0,0,0.0,3498.6,8.25,0.2363659804890627,500,500,500,3732.95,500,4284.6,41041
37200,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37200.00,10,0,0.0,0,0.0,3449.4,0.0,0.0,500,500,500,3652.05,500,4169.1,41041
37300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37300.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1525,2025,900,3643.05,625,3826.25,41041
37400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37400.00,5,0,0.0,0,0.0,2493.75,0.0,0.0,500,500,500,3314.55,500,3899.85,41041
37500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37500.00,80,-14,-14.893617021276595,33,101.99,3590.0,105.05000000000018,3.014390450365147,500,500,500,3363.1,500,3805.4,41041
37600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37600.00,0,0,0.0,0,0.0,0.0,0.0,0.0,0,500,0,0.0,500,3725.8,41041
37700,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37700.00,0,0,0.0,0,0.0,0.0,0.0,0.0,0,525,0,0.0,25,3595.05,41041
37800,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE37800.00,1,0,0.0,0,0.0,1656.0,0.0,0.0,500,500,500,2998.2,500,3543.75,41041
