strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
33500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE33500.00,30901,-5326,-14.701741794793938,227097,104.64,0.05,-0.5499999999999999,-91.66666666666666,0,623200,0,0.0,431125,0.05,41041
34000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE34000.00,5223,-2904,-35.73274270948689,60789,97.42,0.05,-0.7,-93.33333333333333,0,82275,0,0.0,500,0.1,41041
34500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE34500.00,1831,-2329,-55.98557692307692,44704,90.28,0.05,-0.75,-93.75,0,39200,0,0.0,25,0.05,41041
35000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE35000.00,13155,-219,-1.6375056078959174,66295,83.21,0.05,-0.95,-95.0,0,186750,0,0.0,108025,0.05,41041
35500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE35500.00,5252,-1873,-26.287719298245612,33546,76.22,0.05,-1.15,-95.83333333333333,0,82500,0,0.0,900,0.05,41041
36000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE36000.00,11818,-4448,-27.345383007500306,53200,69.29,0.05,-1.25,-96.15384615384615,0,125775,0,0.0,575,0.05,41041
36500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE36500.00,6199,-4002,-39.23144789726497,33056,62.43,0.05,-1.3,-96.29629629629629,1675,51300,1675,0.05,925,0.1,41041
36900,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE36900.00,1549,-530,-25.493025493025492,8280,56.98,0.05,-1.5,-96.77419354838709,4925,21825,4925,0.05,100,0.1,41041
37000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37000.00,13394,-13490,-50.17854485939592,116006,55.62,0.05,-1.5999999999999999,-96.96969696969697,350,48475,350,0.05,1200,0.1,41041
37100,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37100.00,2010,263,15.054378935317688,7404,54.26,0.05,-1.5999999999999999,-96.96969696969697,0,13350,0,0.0,50,0.05,41041
37200,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37200.00,1609,-505,-23.888363292336802,9612,52.9,0.05,-1.5999999999999999,-96.96969696969697,2750,6625,2750,0.05,125,0.1,41041
37300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37300.00,1786,-517,-22.448979591836736,7884,51.55,0.05,-1.65,-97.05882352941177,0,6675,0,0.0,1775,0.1,41041
37400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37400.00,2238,-891,-28.47555129434324,11690,50.2,0.05,-1.5999999999999999,-96.96969696969697,0,8600,0,0.0,2650,0.05,41041
37500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37500.00,17323,-10007,-36.61544090742773,121918,48.85,0.05,-1.7,-97.14285714285714,0,67475,0,0.0,33300,0.05,41041
37600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37600.00,3846,-1517,-28.286406861831065,16079,47.5,0.05,-1.7,-97.14285714285714,0,7050,0,0.0,5275,0.05,41041
37700,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37700.00,2200,-1074,-32.803909590714724,11900,46.16,0.05,-1.75,-97.22222222222221,0,1425,0,0.0,975,0.05,41041
37800,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37800.00,2306,-1668,-41.972823351786616,16250,44.81,0.05,-1.95,-97.5,0,1925,0,0.0,1000,0.25,41041
37900,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE37900.00,1929,-1359,-41.332116788321166,18633,43.47,0.05,-1.95,-97.5,0,14425,0,0.0,10975,0.05,41041
38000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38000.00,34744,-28701,-45.23760737646781,358113,42.12,0.05,-2.1500000000000004,-97.72727272727273,0,150325,0,0.0,95800,0.05,41041
38100,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38100.00,2333,-1058,-31.20023591860808,27021,40.78,0.05,-2.1500000000000004,-97.72727272727273,0,3625,0,0.0,1025,0.05,41041
38200,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38200.00,3492,-1234,-26.11087600507829,30248,39.44,0.05,-2.25,-97.82608695652175,0,2175,0,0.0,400,0.95,41041
38300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38300.00,2889,-7806,-72.98737727910239,67406,38.1,0.05,-2.35,-97.91666666666667,0,3200,0,0.0,700,0.45,41041
38400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38400.00,2814,-2329,-45.28485319852226,58776,36.76,0.05,-2.5,-98.03921568627452,0,7575,0,0.0,900,0.1,41041
38500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38500.00,26458,-20782,-43.99237933954276,372719,35.42,0.05,-2.6500000000000004,-98.14814814814815,0,87850,0,0.0,52025,0.05,41041
38600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38600.00,2864,-1995,-41.05783082938876,64367,34.08,0.05,-2.85,-98.27586206896552,4125,8150,4125,0.05,3525,0.1,41041
38700,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38700.00,4405,-3477,-44.11316924638417,89936,32.74,0.05,-2.9000000000000004,-98.30508474576271,0,6025,0,0.0,2975,0.05,41041
38800,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38800.00,6240,-6721,-51.855566700100304,106825,33.01,0.1,-3.15,-96.92307692307692,0,875,0,0.0,400,0.1,41041
38900,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE38900.00,12995,1972,17.889866642474825,128193,30.07,0.05,-3.35,-98.52941176470588,0,33650,0,0.0,31750,0.05,41041
39000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39000.00,78630,-36790,-31.874891699878702,1020500,28.73,0.05,-3.6500000000000004,-98.64864864864865,0,289650,0,0.0,249325,0.05,41041
39100,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39100.00,5517,-8454,-60.5110586214301,151751,27.39,0.05,-3.8000000000000003,-98.7012987012987,0,18275,0,0.0,12125,0.05,41041
39200,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39200.00,8910,-7080,-44.27767354596623,189999,26.05,0.05,-4.05,-98.78048780487805,0,54200,0,0.0,24875,0.05,41041
39300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39300.00,9009,-15682,-63.51302093880361,225363,24.71,0.05,-4.4,-98.87640449438203,0,16375,0,0.0,4550,0.05,41041
39400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39400.00,12688,-8179,-39.19585949106244,286969,23.37,0.05,-4.65,-98.93617021276596,0,65800,0,0.0,57100,0.05,41041
39500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39500.00,92162,-22720,-19.776814470500167,1361598,22.03,0.05,-5.05,-99.01960784313727,0,151825,0,0.0,87650,0.05,41041
39600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39600.00,28195,1995,7.614503816793893,408641,20.68,0.05,-5.4,-99.08256880733946,0,65550,0,0.0,45425,0.05,41041
39700,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39700.00,25116,-11191,-30.82325722312502,565866,19.33,0.05,-5.95,-99.16666666666667,0,134750,0,0.0,62250,0.05,41041
39800,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39800.00,35581,-6191,-14.82093268217945,720937,17.98,0.05,-6.55,-99.24242424242425,0,137750,0,0.0,108725,0.05,41041
39900,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE39900.00,23638,-18008,-43.2406473610911,747055,16.63,0.05,-7.25,-99.31506849315068,0,31475,0,0.0,1700,0.05,41041
40000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40000.00,114289,-5771,-4.806763285024155,2492987,15.27,0.05,-8.5,-99.41520467836257,0,521575,0,0.0,411075,0.05,41041
40100,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40100.00,25826,-22510,-46.5698444223767,993984,13.91,0.05,-9.549999999999999,-99.47916666666666,0,187725,0,0.0,68525,0.05,41041
40200,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40200.00,38962,-18881,-32.64180626869284,1620705,12.54,0.05,-11.549999999999999,-99.56896551724137,0,115025,0,0.0,9275,0.05,41041
40300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40300.00,43212,-25296,-36.924154843229985,1746876,11.16,0.05,-14.6,-99.65870307167235,0,137025,0,0.0,82675,0.05,41041
40400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40400.00,46475,-24355,-34.38514753635465,2321508,9.78,0.05,-19.4,-99.74293059125964,0,232925,0,0.0,148925,0.05,41041
40500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40500.00,112940,-25461,-18.39654337757675,4447808,8.38,0.05,-27.099999999999998,-99.8158379373849,0,373625,0,0.0,81450,0.05,41041
40600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40600.00,56458,-17327,-23.4830927695331,4142486,6.97,0.05,-38.5,-99.8702983138781,0,234450,0,0.0,70950,0.05,41041
40700,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40700.00,72127,-18122,-20.080000886436416,6795456,5.54,0.05,-55.550000000000004,-99.91007194244604,0,280250,0,0.0,12300,0.05,41041
40800,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40800.00,101952,8696,9.32486917731835,12011522,4.37,0.1,-79.7,-99.87468671679198,83425,384175,83425,0.05,12225,0.1,41041
40900,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE40900.00,129247,54989,74.05128067009615,16064567,2.58,0.05,-112.3,-99.95549621717846,0,481025,0,0.0,18900,0.05,41041
41000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41000.00,229913,97117,73.13247386969488,26885470,0.99,0.05,-154.85,-99.9677211103938,0,1650800,0,0.0,537225,0.05,41041
41100,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41100.00,76774,53162,225.1482297137049,15042310,3.73,60.7,-148.75,-71.01933635712581,277275,94375,50,60.95,525,61.1,41041
41200,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41200.00,55085,11789,27.228843311160386,8816570,6.92,160.3,-115.09999999999997,-41.79375453885257,344725,37525,25,160.6,225,160.95,41041
41300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41300.00,34380,1089,3.271154366044877,3345924,9.81,260.0,-91.19999999999999,-25.96810933940774,73175,14475,25,260.2,225,260.5,41041
41400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41400.00,31575,1492,4.959611740850314,1417546,12.45,360.05,-75.14999999999998,-17.267922794117645,44575,5925,50,359.45,175,360.4,41041
41500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41500.00,5762,-829,-12.57775754817175,889129,15.15,460.5,-68.70000000000005,-12.981859410430847,1024525,5725,25,459.9,150,460.9,41041
41600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41600.00,2042,208,11.34133042529989,171481,17.79,561.0,-60.950000000000045,-9.799823136908119,40375,5725,25,559.85,625,561.0,41041
41700,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41700.00,941,-329,-25.905511811023622,53287,20.33,660.95,-51.799999999999955,-7.26762539459838,68425,6000,25,660.2,25,661.0,41041
41800,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE41800.00,559,84,17.68421052631579,28499,18.36,752.2,-66.94999999999993,-8.173106268693148,13675,2225,50,752.2,125,761.5,41041
